x,y
1.202562783960000843e+02,2.271853635700006180e+01
1.202530295700000806e+02,2.272390386900002568e+01
1.202498499470000297e+02,2.272420631900007493e+01
1.202503374620000614e+02,2.272787786900005358e+01
1.202436465500001077e+02,2.274314171100007798e+01
1.202346117860000732e+02,2.275986591600002384e+01
1.202312395360000892e+02,2.276072588100004168e+01
1.202330488540001170e+02,2.276274211200006903e+01
1.202323601000000508e+02,2.276606757100006462e+01
1.202153842780001014e+02,2.280416295300005913e+01
1.202123297300000786e+02,2.280761087500002304e+01
1.201979065840000658e+02,2.280524591200003215e+01
1.201933189870001115e+02,2.280744045900007677e+01
1.201901555590001180e+02,2.281358591400004343e+01
1.201902837600000566e+02,2.281538441100002501e+01
1.202059830770000417e+02,2.282015385600004720e+01
1.202072462700000415e+02,2.282290689100005920e+01
1.201983929000000444e+02,2.284445115500005841e+01
1.201898071570000184e+02,2.284174611700007063e+01
1.201980840560000843e+02,2.284460694700004524e+01
1.201929214960000536e+02,2.284836134600004698e+01
1.201953413110001065e+02,2.285016233200002489e+01
1.201929546230001051e+02,2.285628400100006274e+01
1.201911102770000070e+02,2.285538109400005169e+01
1.201927782820000630e+02,2.285713957100006155e+01
1.201891993390000835e+02,2.285838181200006147e+01
1.201933266190001177e+02,2.285935831500006543e+01
1.201897010540000110e+02,2.286069053000005624e+01
1.201902099430000135e+02,2.286390442000003986e+01
1.201927828820000741e+02,2.286522039700003006e+01
1.201746927790001109e+02,2.291020195200002263e+01
1.201746639560000176e+02,2.291203964100003532e+01
1.201768497560000242e+02,2.291263893000007101e+01
1.201740489130000924e+02,2.291441580900004737e+01
1.201729984140000624e+02,2.291928530100005901e+01
1.201751762410000310e+02,2.293298071200007371e+01
1.201720091080001112e+02,2.294969457100006593e+01
1.201628146290000814e+02,2.296498470300002737e+01
1.201596722750000481e+02,2.296354951800003619e+01
1.201553621550000344e+02,2.296473800200004689e+01
1.201554145290000406e+02,2.296746301900003573e+01
1.201597871870000063e+02,2.297122257800003808e+01
1.201586779270000989e+02,2.297488329500004056e+01
1.201403463010000223e+02,2.299334132700005284e+01
1.201410883280000235e+02,2.299598097100005134e+01
1.201375709430000143e+02,2.299692017800003896e+01
1.201101979770000980e+02,2.301885652800007165e+01
1.200861105080000470e+02,2.303328241900004514e+01
1.200651747490001071e+02,2.304325280200004045e+01
1.200579556620000403e+02,2.304309836200002337e+01
1.200389789760000667e+02,2.306804537900006835e+01
1.200294161700001041e+02,2.306641332100002728e+01
1.200269124220000094e+02,2.306792528500005801e+01
1.200378971270000648e+02,2.310846670800003722e+01
1.200439410520000365e+02,2.311919413600003281e+01
1.200514510230000269e+02,2.312558242900007599e+01
1.200542213620000211e+02,2.312572147400004496e+01
1.200509201120000853e+02,2.312238625700007333e+01
1.200550380780000523e+02,2.312569628700003932e+01
1.200528427680001187e+02,2.313064055800003871e+01
1.200558295320000752e+02,2.313714485700006662e+01
1.200604725240000334e+02,2.316344417500005193e+01
1.200800497160000759e+02,2.320901245000004565e+01
1.200818631640000831e+02,2.322228518600007874e+01
1.200806177390001039e+02,2.323757035300002372e+01
1.200893509170000470e+02,2.324963256600005934e+01
1.200921768840000823e+02,2.325961070200003178e+01
1.200950303700000177e+02,2.328122506600004726e+01
1.200945799590000433e+02,2.329590016200006630e+01
1.200968997120000950e+02,2.329961086300005491e+01
1.201068410230000154e+02,2.330527941900004407e+01
1.201108078950001072e+02,2.331040012200003275e+01
1.201136130960001083e+02,2.332226424400005271e+01
1.201110181500000635e+02,2.333183023200007256e+01
1.201177240530000745e+02,2.333933971800007612e+01
1.201193404780000265e+02,2.334692986000004566e+01
1.201308981440000707e+02,2.337044289300007449e+01
1.201316596310000477e+02,2.338477917100004788e+01
1.201480768490000628e+02,2.338552922300004866e+01
1.201520554910000556e+02,2.338859984500004430e+01
1.201559148620000315e+02,2.338470381900003758e+01
1.201564558970001144e+02,2.337978123500005267e+01
1.201579797300000791e+02,2.337980618100004904e+01
1.201581913930000383e+02,2.338478281800007608e+01
1.201568969990000824e+02,2.338426793700006101e+01
1.201540035350000153e+02,2.338811472700007243e+01
1.201577839640000320e+02,2.338578968200005193e+01
1.201592646740000419e+02,2.338768934200004423e+01
1.201556889590000310e+02,2.339007421700006262e+01
1.201549802950000867e+02,2.338919000900006040e+01
1.201536478410000655e+02,2.338895932600007654e+01
1.201555044810000936e+02,2.339094006000004811e+01
1.201607287420000603e+02,2.338879204000005529e+01
1.201637045000001081e+02,2.339304058300007227e+01
1.201616740210000671e+02,2.339465955600007874e+01
1.201599769550000474e+02,2.340612478100007365e+01
1.201541427640000848e+02,2.340426260200007391e+01
1.201538348120000137e+02,2.339915246100002832e+01
1.201516388240000879e+02,2.339852656100003969e+01
1.201494111150000208e+02,2.340614670300004718e+01
1.201482036550000885e+02,2.341485817300002736e+01
1.201512659790000725e+02,2.341828574300006949e+01
1.201495320830000537e+02,2.342303039300003320e+01
1.201560016170000154e+02,2.342730213100003311e+01
1.201536156670000537e+02,2.342840033200002381e+01
1.201490039290000595e+02,2.342552871100002676e+01
1.201504689000000781e+02,2.342771281100004899e+01
1.201455116140000428e+02,2.342859551900005499e+01
1.201468922770000063e+02,2.343836631300007411e+01
1.201556028580000657e+02,2.344826273900002889e+01
1.201509656530000711e+02,2.344897801900003742e+01
1.201522458620000862e+02,2.345485201100007089e+01
1.201386894920000259e+02,2.344894007100003819e+01
1.201387684010001067e+02,2.345266296700003750e+01
1.201353940820000616e+02,2.345112507500004995e+01
1.201364264780000894e+02,2.344848737500007019e+01
1.201380266650000976e+02,2.344928179300006832e+01
1.201381879030000164e+02,2.344903662800004440e+01
